,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
41,illoqqortoormiut,,,,,,,,
42,sokoni,TZ,2020-08-18 11:35:37,-6.43,39.55,75,69,82.66999999999996,3.6
43,hithadhoo,MV,2020-08-18 11:35:37,-0.6,73.08,6,75,84.36199999999997,4.44
44,killorglin,IE,2020-08-18 11:35:37,52.1,-9.78,40,73,70.06999999999996,5.1
45,svetlopolyansk,RU,2020-08-18 11:35:38,59.42,52.36,82,90,46.72400000000001,3.88
46,briancon,FR,2020-08-18 11:35:38,44.9,6.65,60,54,82.27400000000002,1.34
47,labuhan,ID,2020-08-18 11:35:38,-6.88,112.21,40,77,78.476,3.16
48,poum,NC,2020-08-18 11:35:38,-20.23,164.02,43,67,69.476,6.19
49,vangaindrano,MG,2020-08-18 11:35:38,-23.35,47.6,1,84,66.95600000000003,2.9
50,fare,PF,2020-08-18 11:35:38,-16.7,-151.02,54,76,78.566,6.87
51,iranshahr,IR,2020-08-18 11:35:39,27.2,60.68,75,26,104.26999999999997,3.1
52,manggar,ID,2020-08-18 11:35:39,-2.88,108.27,98,80,81.5,5.06
53,iqaluit,CA,2020-08-18 11:35:39,63.75,-68.51,75,81,46.66999999999996,7.7
54,lavrentiya,RU,2020-08-18 11:35:39,65.58,-171,98,83,46.75999999999998,3.28
55,urumqi,CN,2020-08-18 11:34:09,43.8,87.6,20,41,79.06999999999996,11
56,saskylakh,RU,2020-08-18 11:35:39,71.92,114.08,100,85,46.72400000000001,3.75
57,samarai,PG,2020-08-18 11:35:39,-10.62,150.67,1,68,73.85,3.15
58,norman wells,CA,2020-08-18 11:35:40,65.28,-126.83,75,81,53.86999999999996,2.1
59,pevek,RU,2020-08-18 11:35:40,69.7,170.31,100,85,39.86600000000001,5.89
60,saint george,US,2020-08-18 11:35:40,37.1,-113.58,1,12,92.26400000000004,2.1
61,upernavik,GL,2020-08-18 11:35:40,72.79,-56.15,100,54,50.342,1.55
62,abu dhabi,AE,2020-08-18 11:35:22,24.47,54.37,73,63,97.06999999999996,3.1
63,akyab,MM,2020-08-18 11:35:40,20.15,92.9,100,91,79.91600000000001,6.55
64,ocampo,MX,2020-08-18 11:35:40,21.65,-101.5,100,59,66.03800000000004,4.8
65,fez,MA,2020-08-18 11:35:21,34.04,-5,20,28,93.46999999999997,3.6
66,de-kastri,RU,2020-08-18 11:35:41,51.47,140.78,94,93,58.17200000000004,3.02
67,ust-tsilma,RU,2020-08-18 11:35:41,65.44,52.15,100,96,49.62200000000004,4.21
68,albany,US,2020-08-18 11:35:41,42.6,-73.97,0,46,79.26799999999999,4.91
69,broome,US,2020-08-18 11:35:41,42.25,-75.83,40,68,73.27400000000002,3.1
70,ossora,RU,2020-08-18 11:35:41,59.24,163.07,70,67,51.601999999999975,2.23
71,manica,FR,2020-08-18 11:35:42,49,-1.17,6,82,68.26999999999995,8.2
72,bumba,CD,2020-08-18 11:35:42,2.18,22.47,59,73,79.06999999999996,0.48
73,bathsheba,BB,2020-08-18 11:35:42,13.22,-59.52,75,74,86.26999999999995,6.7
74,ulaangom,MN,2020-08-18 11:35:42,49.98,92.07,51,67,63.12200000000004,0.46
75,airai,TL,2020-08-18 11:35:42,-8.93,125.41,3,86,55.16600000000001,0.97
76,clonakilty,IE,2020-08-18 11:35:42,51.62,-8.87,40,63,69.27799999999996,6.2
77,lebu,CL,2020-08-18 11:35:42,-37.62,-73.65,78,65,49.67599999999999,4.67
78,palabuhanratu,,,,,,,,
79,kuching,MY,2020-08-18 11:35:43,1.55,110.33,40,100,75.46999999999997,0.49
80,kahului,US,2020-08-18 11:35:43,20.89,-156.47,90,61,79.06999999999996,4.6
81,tasiilaq,GL,2020-08-18 11:35:43,65.61,-37.64,75,61,50.26999999999996,2.6
82,carnarvon,AU,2020-08-18 11:35:43,-24.87,113.63,53,88,62.86999999999996,4.6
83,nanortalik,GL,2020-08-18 11:35:43,60.14,-45.24,5,66,52.196000000000055,1.48
84,punta arenas,CL,2020-08-18 11:35:44,-53.15,-70.92,20,59,35.86999999999996,6.7
85,barrow,US,2020-08-18 11:35:44,71.29,-156.79,90,100,43.06999999999996,7.7
86,puerto madryn,AR,2020-08-18 11:34:01,-42.77,-65.04,2,53,45.69800000000002,12.97
87,hebertville,,,,,,,,
88,tarko-sale,RU,2020-08-18 11:35:44,64.92,77.78,60,84,62.27599999999999,4.9
89,hermanus,ZA,2020-08-18 11:35:44,-34.42,19.23,94,74,51.27799999999996,0.45
90,gat,IL,2020-08-18 11:35:44,31.61,34.76,0,31,87.27799999999996,2.96
91,louisbourg,,,,,,,,
92,acapulco,MX,2020-08-18 11:34:11,16.86,-99.89,20,79,84.46999999999997,3.1
93,esperance,AU,2020-08-18 11:35:45,-33.87,121.9,90,100,50.26999999999996,8.7
94,at-bashi,KG,2020-08-18 11:35:45,41.17,75.81,100,66,54.5,0.9
95,salalah,OM,2020-08-18 11:35:45,17.02,54.09,90,100,77.26999999999995,1
96,isangel,VU,2020-08-18 11:35:45,-19.55,169.27,20,94,68.26999999999995,3.96
97,georgetown,MY,2020-08-18 11:34:42,5.41,100.34,20,88,82.66999999999996,1.15
98,phan rang,,,,,,,,
99,cape town,ZA,2020-08-18 11:23:23,-33.93,18.42,20,58,57.272000000000034,6.2
100,puerto escondido,MX,2020-08-18 11:31:22,15.85,-97.07,5,66,84.46999999999997,4.16
101,okakarara,NA,2020-08-18 11:35:46,-20.58,17.43,0,25,58.693999999999974,3.52
102,alta floresta,BR,2020-08-18 11:35:46,-9.88,-56.09,24,18,100.66999999999996,2.1
103,mahajanga,MG,2020-08-18 11:31:57,-15.72,46.32,20,69,77.26999999999995,2.1
104,hovd,MN,2020-08-18 11:35:46,48.01,91.64,7,55,65.11999999999996,1.2
105,jammalamadugu,IN,2020-08-18 11:35:46,14.83,78.4,95,68,83.24600000000005,6.5
106,sobolevo,RU,2020-08-18 11:35:47,54.43,31.9,91,80,63.95,2.93
107,lasa,IT,2020-08-18 11:35:47,46.62,10.7,40,48,72.26600000000002,2.1
108,busselton,AU,2020-08-18 11:35:14,-33.65,115.33,74,72,45.266000000000005,2.3
109,namatanai,PG,2020-08-18 11:35:47,-3.67,152.43,22,82,78.61999999999996,4.41
110,proletarskiy,RU,2020-08-18 11:35:47,50.79,35.77,20,47,77.26999999999995,2
111,salo,IT,2020-08-18 11:35:47,45.61,10.53,2,45,87.27799999999996,2.1
112,san martin,AR,2020-08-18 11:35:47,-33.08,-68.47,40,15,64.66999999999996,3.6
113,tigil,RU,2020-08-18 11:33:04,57.8,158.67,98,86,53.41999999999996,1.21
114,sitka,US,2020-08-18 11:35:48,57.05,-135.33,20,93,53.86999999999996,0.61
115,venezuela,VE,2020-08-18 11:35:48,8,-66,100,94,75.84800000000003,4.05
116,hoquiam,US,2020-08-18 11:35:48,46.98,-123.89,90,88,66.27200000000005,2.26
117,butaritari,KI,2020-08-18 11:35:48,3.07,172.79,38,75,82.32799999999997,3.55
118,vila franca do campo,PT,2020-08-18 11:35:48,37.72,-25.43,75,94,75.46999999999997,8.2
119,tuktoyaktuk,CA,2020-08-18 11:35:48,69.45,-133.04,75,93,50.26999999999996,5.7
120,pouembout,NC,2020-08-18 11:35:48,-21.13,164.9,42,75,61.03399999999999,0.93
121,aklavik,CA,2020-08-18 11:35:49,68.22,-135.01,20,71,53.86999999999996,4.1
122,saleaula,,,,,,,,
123,amahai,ID,2020-08-18 11:35:49,-3.33,128.92,58,83,75.79399999999998,1.84
124,namibe,AO,2020-08-18 11:35:49,-15.2,12.15,90,73,70.06999999999996,5.7
125,cabo san lucas,MX,2020-08-18 11:32:19,22.89,-109.91,40,70,86.26999999999995,2.6
126,arraial do cabo,BR,2020-08-18 11:35:49,-22.97,-42.03,40,78,84.46999999999997,6.7
127,vestmannaeyjar,IS,2020-08-18 11:35:50,63.44,-20.27,20,81,53.86999999999996,8.2
128,tondano,ID,2020-08-18 11:35:50,1.3,124.91,20,78,77.26999999999995,1.5
129,makakilo city,US,2020-08-18 11:32:23,21.35,-158.09,1,78,75.46999999999997,2.1
130,palermo,IT,2020-08-18 11:35:50,37.82,13.58,19,54,86.26999999999995,2.24
131,kamenskoye,,,,,,,,
132,arkadak,RU,2020-08-18 11:35:50,51.93,43.5,21,55,60.38599999999997,2.36
133,tsihombe,,,,,,,,
134,tual,ID,2020-08-18 11:35:50,-5.67,132.75,87,82,78.60199999999998,6.23
135,bilma,NE,2020-08-18 11:35:51,18.69,12.92,69,13,103.90999999999998,2.53
136,mezen,RU,2020-08-18 11:35:51,65.85,44.24,60,80,46.688000000000045,3.59
137,jamestown,US,2020-08-18 11:35:51,42.1,-79.24,20,60,72.26600000000002,6.7
138,san juan,AR,2020-08-18 11:34:08,-31.54,-68.54,0,25,65.13800000000005,7.99
139,sumter,US,2020-08-18 11:35:51,28.71,-82.08,93,71,90.26600000000002,0.89
140,puerto colombia,CO,2020-08-18 11:35:51,10.99,-74.95,40,70,88.06999999999996,1
141,mayo,US,2020-08-18 11:35:51,38.89,-76.51,1,47,84.27200000000005,3.6
142,fortuna,US,2020-08-18 11:35:52,40.6,-124.16,100,90,61.26799999999999,0.45
143,dingle,PH,2020-08-18 11:35:52,11,122.67,98,90,76.118,1.43
144,nikolskoye,RU,2020-08-18 11:35:52,59.7,30.79,0,34,68.26999999999995,3
145,ribeira grande,PT,2020-08-18 11:35:52,38.52,-28.7,75,88,77.26999999999995,11.3
146,bambous virieux,MU,2020-08-18 11:35:52,-20.34,57.76,75,78,73.27400000000002,8.2
147,saint-philippe,RE,2020-08-18 11:35:52,-21.36,55.77,40,73,71.86999999999996,1.5
148,balykshi,,,,,,,,
149,ngukurr,,,,,,,,
150,cap malheureux,MU,2020-08-18 11:35:53,-19.98,57.61,0,72,73.27400000000002,2.68
151,cherskiy,RU,2020-08-18 11:35:27,68.75,161.3,98,89,39.95600000000003,3.83
152,katsuura,JP,2020-08-18 11:35:53,35.13,140.3,59,84,82.27400000000002,0.89
153,merauke,ID,2020-08-18 11:35:53,-8.47,140.33,2,80,73.25600000000003,5.08
154,dauphin,CA,2020-08-18 11:30:54,51.15,-100.05,1,57,80.86999999999996,2.1
155,hami,CN,2020-08-18 11:35:53,42.8,93.45,46,13,84.91999999999996,3.63
156,kisangani,CD,2020-08-18 11:35:53,0.52,25.2,75,62,88.06999999999996,3.1
157,bengkulu,ID,2020-08-18 11:35:28,-3.8,102.27,37,85,77.07200000000003,1.91
158,geraldton,AU,2020-08-18 11:35:54,-28.77,114.6,75,87,50.26999999999996,1.5
159,vila velha,BR,2020-08-18 11:35:45,-20.33,-40.29,40,74,82.27400000000002,6.7
160,warmbad,NA,2020-08-18 11:35:54,-28.45,18.73,0,46,48.72200000000004,2.19
161,melchor de mencos,GT,2020-08-18 11:35:54,17.07,-89.15,20,78,82.66999999999996,2.1
162,kaitangata,NZ,2020-08-18 11:35:54,-46.28,169.85,100,67,47.26400000000003,1.79
163,marsh harbour,BS,2020-08-18 11:35:19,26.54,-77.06,6,63,85.892,3.16
164,port hardy,CA,2020-08-18 11:35:54,50.7,-127.42,90,100,59.26999999999996,2.1
165,bethel,US,2020-08-18 11:35:54,41.37,-73.41,1,53,80.27599999999998,4.1
166,pochutla,MX,2020-08-18 11:35:55,15.74,-96.47,86,65,89.27599999999998,2.43
167,harper,LR,2020-08-18 11:35:55,4.38,-7.72,87,77,77.684,4.38
168,bredasdorp,ZA,2020-08-18 11:35:55,-34.53,20.04,97,62,53.86999999999996,3.1
169,windhoek,NA,2020-08-18 11:35:55,-22.56,17.08,0,6,62.86999999999996,4.6
170,pemba,MZ,2020-08-18 11:35:55,-12.97,40.52,75,83,77.26999999999995,3.6
171,anshun,CN,2020-08-18 11:35:55,26.25,105.93,100,95,64.20199999999997,1.94
172,pengcheng,CN,2020-08-18 11:35:56,36.43,114.17,43,87,70.53800000000004,4.39
173,kavieng,PG,2020-08-18 11:35:56,-2.57,150.8,0,79,81.46400000000003,2.01
174,dakar,SN,2020-08-18 11:27:11,14.69,-17.44,75,74,88.06999999999996,4.1
175,mar del plata,AR,2020-08-18 11:35:56,-38,-57.56,94,50,56.26400000000004,2.6
176,chapais,CA,2020-08-18 11:35:56,49.78,-74.85,90,87,55.66999999999996,4.6
177,ambilobe,MG,2020-08-18 11:35:56,-13.2,49.05,14,65,72.55399999999995,3.93
178,port elizabeth,ZA,2020-08-18 11:35:57,-33.92,25.57,75,87,48.469999999999956,15.9
179,khatanga,RU,2020-08-18 11:35:57,71.97,102.5,55,72,52.73599999999997,6.13
180,paoua,CF,2020-08-18 11:35:57,7.24,16.44,62,89,75.93800000000005,1.91
181,victoria,HK,2020-08-18 11:34:51,22.29,114.16,100,96,78.27799999999996,10.73
182,ostersund,SE,2020-08-18 11:35:54,63.18,14.64,23,49,71.86999999999996,2.1
183,manokwari,ID,2020-08-18 11:33:46,-0.87,134.08,86,79,78.40399999999995,1.48
184,togul,RU,2020-08-18 11:35:57,53.47,85.91,99,81,63.28399999999999,5.04
185,asau,RO,2020-08-18 11:35:57,46.43,26.4,75,55,74.26400000000004,0.82
186,villa del rosario,CO,2020-08-18 11:35:58,7.83,-72.47,75,83,80.86999999999996,2.1
187,kodiak,US,2020-08-18 11:35:58,57.79,-152.41,90,82,57.469999999999956,0.87
188,komsomolskiy,UZ,2020-08-18 11:35:58,40.43,71.72,97,60,70.06999999999996,2.1
189,harlingen,US,2020-08-18 11:33:39,26.19,-97.7,1,62,90.26600000000002,1.5
190,thompson,CA,2020-08-18 11:35:58,55.74,-97.86,75,68,64.66999999999996,1.5
191,guymon,US,2020-08-18 11:35:58,36.68,-101.48,1,65,79.06999999999996,3.6
192,rosetta,EG,2020-08-18 11:35:58,31.4,30.42,40,58,84.46999999999997,5.7
193,vestbygda,,,,,,,,
194,barentsburg,,,,,,,,
195,constitucion,CL,2020-08-18 11:35:59,-35.33,-72.42,91,68,52.969999999999956,1.87
196,la tijera,MX,2020-08-18 11:35:59,19.9,-104.4,97,68,70.88000000000005,1.77
197,senneterre,CA,2020-08-18 11:35:59,48.38,-77.23,75,82,57.469999999999956,4.6
198,kendari,ID,2020-08-18 11:34:09,-3.94,122.5,11,87,71.52799999999996,1.13
199,yomitan,,,,,,,,
200,piltene,LV,2020-08-18 11:35:59,57.22,21.67,79,56,73.66999999999996,3.6
201,peniche,PT,2020-08-18 11:36:00,39.36,-9.38,45,75,80.27599999999998,4.92
202,rorvik,NO,2020-08-18 11:36:00,64.86,11.24,11,77,59.26999999999996,5.7
203,zhelyabovka,UA,2020-08-18 11:36:00,45.4,34.76,0,46,73.058,2.13
204,amga,RU,2020-08-18 11:36:00,60.9,131.96,84,79,44.041999999999994,0.74
205,karia,NG,2020-08-18 11:36:00,11.73,11.16,100,68,81.87799999999996,0.76
206,leningradskiy,RU,2020-08-18 11:36:01,69.38,178.42,22,74,41.45,2.39
207,nouakchott,MR,2020-08-18 11:35:19,18.09,-15.98,40,66,88.06999999999996,8.7
208,lazarev,RU,2020-08-18 11:36:01,52.23,141.51,100,95,58.964000000000034,3.71
209,samalaeulu,,,,,,,,
210,kralendijk,BQ,2020-08-18 11:36:01,12.15,-68.27,75,79,86.26999999999995,2.6
211,sarramea,NC,2020-08-18 11:36:01,-21.64,165.85,75,88,62.86999999999996,1
212,ketchikan,US,2020-08-18 11:36:01,55.34,-131.65,90,100,57.469999999999956,1.5
213,ostrovnoy,RU,2020-08-18 11:36:02,68.05,39.51,32,75,47.516000000000005,1.28
214,vaitupu,,,,,,,,
215,mount gambier,AU,2020-08-18 11:36:02,-37.83,140.77,90,100,46.66999999999996,3.6
216,moroto,UG,2020-08-18 11:36:02,2.53,34.67,98,71,69.69200000000001,2.35
217,honiara,SB,2020-08-18 11:36:02,-9.43,159.95,20,100,75.46999999999997,1.5
218,rundu,NA,2020-08-18 11:36:02,-17.93,19.77,0,22,68.9,3.26
219,salur,IN,2020-08-18 11:36:03,18.53,83.22,100,72,82.20199999999997,1.82
220,faanui,PF,2020-08-18 11:34:36,-16.48,-151.75,74,80,77.99000000000002,7.56
221,rebrikha,RU,2020-08-18 11:36:03,53.07,82.34,100,89,57.41600000000001,2.76
222,castro,BR,2020-08-18 11:31:55,-24.79,-50.01,100,97,59.05399999999995,1.48
223,saint anthony,US,2020-08-18 11:36:04,45.02,-93.22,1,49,75.27200000000005,1.86
224,dikson,RU,2020-08-18 11:35:04,73.51,80.55,0,72,52.627999999999965,1.92
225,sembakung,ID,2020-08-18 11:36:04,3.82,117.25,84,96,73.81400000000004,0.55
226,chabahar,IR,2020-08-18 11:36:04,25.29,60.64,30,79,86.26999999999995,5.1
227,hasaki,JP,2020-08-18 11:36:05,35.73,140.83,75,94,77.26999999999995,4.1
228,lagoa,PT,2020-08-18 11:36:05,39.05,-27.98,76,90,74.60600000000002,10.61
229,nizhneyansk,,,,,,,,
230,loubomo,CG,2020-08-18 11:36:05,-4.2,12.67,53,72,76.36999999999996,4.21
231,saint-pierre,RE,2020-08-18 11:36:06,-21.34,55.48,1,73,70.06999999999996,1.5
232,devils lake,US,2020-08-18 11:36:06,48.11,-98.87,20,68,71.86999999999996,5.1
233,bongaree,AU,2020-08-18 11:36:06,-27.08,153.16,31,95,56.26400000000004,6.27
234,tshane,BW,2020-08-18 11:36:06,-24.02,21.87,0,47,48.650000000000006,4.77
235,penzance,GB,2020-08-18 11:32:53,50.12,-5.54,20,82,72.26600000000002,5.7
236,rawson,AR,2020-08-18 11:36:06,-43.3,-65.1,30,65,42.188000000000045,13.82
237,vardo,NO,2020-08-18 11:36:06,70.37,31.11,95,81,52.069999999999965,10.3
238,la ronge,CA,2020-08-18 11:36:06,55.1,-105.28,5,83,70.06999999999996,4.6
239,aksarka,RU,2020-08-18 11:36:07,66.56,67.8,89,82,53.492,4.6
240,nago,JP,2020-08-18 11:36:07,26.59,127.98,90,83,82.66999999999996,1.8
241,kilkis,GR,2020-08-18 11:36:07,40.99,22.87,60,75,82.27400000000002,0.89
242,marzuq,YE,2020-08-18 11:36:07,14.4,46.47,87,26,90.10399999999996,2.09
243,ponta do sol,PT,2020-08-18 11:36:07,32.67,-17.1,2,66,76.26199999999996,1.76
244,codrington,AU,2020-08-18 11:36:07,-38.27,141.97,100,94,46.814000000000036,5.28
245,coquimbo,CL,2020-08-18 11:33:37,-29.95,-71.34,75,62,55.66999999999996,3.1
246,krasnyy yar,RU,2020-08-18 11:36:08,46.53,48.35,59,39,80.27599999999998,3
247,daxian,,,,,,,,
248,ye,,,,,,,,
249,zakamensk,RU,2020-08-18 11:36:08,50.37,103.29,25,85,50.50399999999995,0.88
250,upata,VE,2020-08-18 11:36:08,8.01,-62.4,86,71,83.984,1.91
251,muhlhausen,DE,2020-08-18 11:36:08,51.22,10.45,34,81,75.27200000000005,2.54
252,florida,US,2020-08-18 11:34:43,28.75,-82.5,75,74,89.27599999999998,2.1
253,talara,PE,2020-08-18 11:36:09,-4.58,-81.27,100,68,70.06999999999996,9.3
254,husavik,IS,2020-08-18 11:36:09,66.04,-17.34,90,76,53.86999999999996,7.7
255,serik,TR,2020-08-18 11:36:09,36.92,31.1,20,74,84.46999999999997,3.6
256,colares,PT,2020-08-18 11:33:30,38.8,-9.45,20,61,82.66999999999996,4.6
257,shimoda,JP,2020-08-18 11:36:09,34.67,138.95,82,93,74.26400000000004,3.57
258,chicama,PE,2020-08-18 11:36:10,-7.84,-79.15,27,52,71.31199999999995,5
259,launceston,AU,2020-08-18 11:34:30,-41.45,147.17,90,93,44.27599999999999,3.1
260,cacapava do sul,BR,2020-08-18 11:36:10,-30.51,-53.49,80,74,65.62400000000002,1.57
261,kalmunai,LK,2020-08-18 11:36:10,7.42,81.82,63,82,82.09399999999997,0.95
262,villa rica,US,2020-08-18 11:36:10,33.73,-84.92,1,51,90.26600000000002,1.46
263,mahebourg,MU,2020-08-18 11:35:36,-20.41,57.7,75,78,71.86999999999996,8.2
264,luganville,VU,2020-08-18 11:36:10,-15.53,167.17,20,88,75.46999999999997,2.6
265,salta,AR,2020-08-18 11:32:46,-24.79,-65.41,0,30,70.06999999999996,3.6
266,filadelfia,US,2020-08-18 11:32:40,39.95,-75.16,20,51,85.26199999999996,2.6
267,kurilsk,RU,2020-08-18 11:36:11,45.23,147.88,93,89,54.51799999999999,3.39
268,hokitika,NZ,2020-08-18 11:36:11,-42.72,170.97,100,82,50.99000000000002,5.21
269,skiros,,,,,,,,
270,vanimo,PG,2020-08-18 11:36:11,-2.67,141.3,6,84,77.84600000000006,2.11
271,gerash,IR,2020-08-18 11:36:12,27.67,54.14,75,22,102.46999999999996,3.1
272,kieta,PG,2020-08-18 11:36:12,-6.22,155.63,89,79,79.03399999999999,1.36
273,chokurdakh,RU,2020-08-18 11:36:12,70.63,147.92,95,88,35.22200000000004,2.67
274,quatre cocos,MU,2020-08-18 11:36:12,-20.21,57.76,75,78,73.27400000000002,8.2
275,tumannyy,,,,,,,,
276,vilyuysk,RU,2020-08-18 11:33:05,63.76,121.62,69,71,52.44800000000002,2.23
277,alofi,NU,2020-08-18 11:36:12,-19.06,-169.92,49,83,75.46999999999997,5.1
278,pisco,PE,2020-08-18 11:31:20,-13.7,-76.22,90,77,64.66999999999996,4.1
279,jibuti,DJ,2020-08-18 11:36:13,11.5,42.5,1,44,98.86999999999996,3.32
280,sarh,TD,2020-08-18 11:36:13,9.14,18.39,20,74,84.46999999999997,2.1
281,mys shmidta,,,,,,,,
282,champerico,GT,2020-08-18 11:36:13,14.3,-91.92,20,74,84.46999999999997,2.1
283,ulaanbaatar,MN,2020-08-18 11:32:19,47.91,106.88,3,71,52.069999999999965,1
284,westport,US,2020-08-18 11:31:43,41.14,-73.36,1,64,79.26799999999999,5.7
285,sydney,AU,2020-08-18 11:29:33,-33.87,151.21,0,66,57.272000000000034,3.6
286,ostashkov,RU,2020-08-18 11:36:14,57.15,33.11,27,70,58.92799999999997,1.34
287,cidreira,BR,2020-08-18 11:36:14,-30.18,-50.21,30,85,66.27200000000005,6.21
288,chimbote,PE,2020-08-18 11:36:14,-9.09,-78.58,66,66,66.21799999999999,5.87
289,burica,,,,,,,,
290,itaituba,BR,2020-08-18 11:36:14,-4.28,-55.98,20,53,95.26999999999995,2.6
291,tir pol,,,,,,,,
292,khani,GE,2020-08-18 11:36:15,41.96,42.96,7,83,73.66999999999996,4.1
293,sarahan,IN,2020-08-18 11:36:15,31.52,77.8,100,76,66.326,0.49
294,sentyabrskiy,,,,,,,,
295,beaufort,MY,2020-08-18 11:34:09,5.35,115.75,40,100,77.26999999999995,0.5
296,osoyoos,CA,2020-08-18 11:36:15,49.03,-119.45,0,53,76.26199999999996,2.11
297,hambantota,LK,2020-08-18 11:36:15,6.12,81.12,38,78,82.66999999999996,6.7
298,inirida,CO,2020-08-18 11:36:15,3.87,-67.92,96,88,82.076,0.74
299,jardim,BR,2020-08-18 11:36:16,-21.48,-56.14,96,70,79.53800000000004,0.78
300,flin flon,CA,2020-08-18 11:36:16,54.77,-101.86,20,69,73.66999999999996,1
301,smoky lake,CA,2020-08-18 11:36:16,54.12,-112.47,0,54,76.83800000000005,1.66
302,maxixe,MZ,2020-08-18 11:36:16,-23.86,35.35,0,83,75.27200000000005,7.7
303,dzilam gonzalez,MX,2020-08-18 11:36:16,21.28,-88.93,9,55,90.03200000000001,2.74
304,lichinga,MZ,2020-08-18 11:36:17,-13.31,35.24,75,49,71.86999999999996,2.1
305,norton shores,US,2020-08-18 11:36:17,43.17,-86.26,75,46,75.27200000000005,4.6
306,grindavik,IS,2020-08-18 11:36:17,63.84,-22.43,20,72,62.86999999999996,4.1
307,lima,PE,2020-08-18 11:23:06,-12.04,-77.03,90,77,62.86999999999996,2.6
308,hukuntsi,BW,2020-08-18 11:36:17,-24,21.75,0,47,48.63200000000002,5.42
309,blantyre,MW,2020-08-18 11:36:17,-15.79,35.01,20,33,74.20999999999998,3.25
310,grand river south east,,,,,,,,
311,hay river,CA,2020-08-18 11:36:17,60.82,-115.8,75,77,66.46999999999997,1.5
